arm_one,arm_two,arm_three,arm_four,arm_five,arm_six,arm_seven,drink_x,drink_y,drink_z,hand_x,hand_y,hand_z,finger_lt0,finger_rg0,finger_md0,finger_if0,finger_if1,finger_if2,finger_tb0,finger_tb1,finger_tb2
7.499993265530616737e-01,4.999993305804508181e-01,4.999996265542052121e-01,-7.360130062388098053e-07,5.000001669068315779e-01,5.000092770635017336e-01,4.984130028106092403e-01,8.001620753903438965e-01,7.965029524214987111e-01,5.050227878322054165e-02,9.491839199152105611e-01,1.072392115489021913e+00,2.514671369310565452e-01,-1.549644534609193634e-09,5.550782297121459905e-09,3.807182576808164368e-09,3.362920260887233061e-08,3.205189935968927929e-09,1.372780857650457240e-08,5.002547878500553935e-01,2.036084107588671911e-09,5.342437778704111767e-08
7.435481151873407635e-01,4.931274884472117703e-01,4.940050669341452538e-01,3.184036193717164342e-02,5.057288962884811667e-01,4.904144220854743108e-01,4.985799730317281298e-01,8.001620753903438965e-01,8.012718092598374309e-01,5.050227878322054165e-02,9.521031040579810423e-01,1.062870515998054488e+00,2.828995283055452115e-01,3.773129596547466439e-03,1.093150734168848483e-02,1.050027300844059118e-02,1.416089208962841630e-08,1.720602117760629962e-02,2.113498671888135475e-08,5.000637544249573185e-01,3.167546941415565892e-02,1.449683827212832066e-01
7.355859852430978174e-01,4.872693246792376143e-01,4.964173800537497461e-01,6.368264184027672137e-02,5.099528702174858097e-01,4.831946858904408448e-01,4.950022209392863637e-01,8.001620753903438965e-01,8.043052821644030015e-01,5.050227878322053471e-02,9.518415377542011058e-01,1.046527773936646089e+00,3.101199429441834909e-01,5.234771316015445625e-03,1.383904531446010673e-02,1.338618808809379120e-02,7.103867791365812167e-09,2.496111097331623480e-02,2.587997509056917255e-04,5.000159381215791843e-01,4.006537727354851641e-02,1.810692859256543830e-01
7.276237551964207517e-01,4.843258606438918257e-01,4.979853711453829379e-01,9.552702425630643646e-02,5.098073926776054421e-01,4.768405416793670692e-01,4.920459851094183823e-01,8.001620753903438965e-01,8.062460971500727824e-01,5.050227878322053471e-02,9.502836588300498377e-01,1.030676658911982235e+00,3.242949816358735582e-01,5.686560861030116355e-03,1.439365222539805075e-02,1.402164638615720389e-02,6.386890202954984573e-09,2.741792225894817622e-02,6.472628543528520658e-05,5.000039849096039601e-01,4.262388290070595609e-02,1.911384238796202950e-01
7.196615147820994984e-01,4.830220403873094481e-01,5.001698485382380932e-01,1.273714067135248429e-01,5.081205641322880107e-01,4.712825097617518444e-01,4.901199799377849997e-01,8.001620753903438965e-01,8.074878300614525273e-01,5.050227878322053471e-02,9.478603971890386948e-01,1.015521953987007064e+00,3.314992169902213348e-01,5.713263949535626884e-03,1.435981138344782915e-02,1.392175827696825671e-02,6.078660359617726057e-09,2.923987201839122960e-02,1.621048255509325450e-05,5.000009974283537995e-01,4.556393703575768728e-02,1.915860824046475841e-01
7.116992743641554764e-01,4.822900908918525409e-01,5.005156396459214951e-01,1.592158423713262716e-01,5.051749993547887119e-01,4.696298156445319338e-01,4.887081965510919890e-01,8.001620753903438965e-01,8.082822904477285908e-01,5.050227878322053471e-02,9.446816629844565494e-01,1.000637584620125198e+00,3.348836197284271177e-01,5.719942650564102150e-03,1.426509765770207772e-02,1.372426965398443680e-02,5.893253114505324914e-09,3.004046312631382734e-02,4.083743353336159847e-06,5.000002506879041020e-01,4.675911863035753929e-02,1.896278584015317348e-01
7.037370377149319012e-01,4.845754117760069368e-01,5.010737695691827032e-01,1.910598773748537760e-01,5.024785012825849773e-01,4.687926309464640062e-01,4.877487484296122444e-01,8.001620753903438965e-01,8.087905859914623630e-01,5.050227878322053471e-02,9.418155318512437812e-01,9.857428165669717135e-01,3.246306481946557021e-01,5.721612829461974851e-03,1.415515942101841507e-02,1.341611353219594911e-02,5.880045901404384052e-09,2.972303860588622684e-02,1.055923332707296928e-06,5.000000640271532459e-01,4.682788411694723679e-02,1.874130934009646532e-01
6.957748028517449779e-01,4.875863676963558269e-01,5.021777272309299045e-01,2.229040135645410092e-01,4.995919489375492129e-01,4.705182005665629608e-01,4.899427496707746132e-01,8.001620753903438965e-01,8.091157933450860984e-01,5.050227878322053471e-02,9.381900811462535739e-01,9.710457339758190587e-01,3.116770030372680300e-01,5.635770623234360836e-03,1.404141469816177698e-02,1.325280969427442695e-02,5.824190136946282576e-09,2.929862720357691644e-02,3.024989175751872034e-07,5.000000173410363846e-01,4.661504001999768054e-02,1.854792230757302540e-01
6.878125750482252387e-01,4.905251445378799868e-01,5.041213633140599892e-01,2.547482072818955667e-01,5.001836470193149475e-01,4.706492491994063720e-01,4.902896431242684816e-01,8.001620753903438965e-01,8.093238609233969205e-01,5.050227878322053471e-02,9.333933073612230569e-01,9.565759796997893583e-01,3.003788960640360606e-01,5.528044631513798039e-03,1.392671502032317814e-02,1.312571924525987414e-02,5.813746046909028804e-09,2.901998673401664022e-02,1.169674900488712022e-07,5.000000056632999401e-01,4.633178526116809443e-02,1.839605703088484923e-01
6.798503574871105348e-01,4.937309689322096906e-01,5.057664134945788481e-01,2.865924324599275486e-01,5.037660762121348723e-01,4.714806332331341610e-01,4.917063460702616462e-01,8.001620753903438965e-01,8.094569825046334932e-01,5.050227878322053471e-02,9.276972038465132187e-01,9.423023309850665497e-01,2.882417619323583424e-01,5.501112632900167013e-03,1.389803984651831990e-02,1.300768390279728737e-02,5.869830073220993212e-09,2.843274971675803856e-02,7.256195857204086009e-08,5.000000027616318121e-01,4.580090214657062814e-02,1.825457643535690067e-01
